Số Báo Danh, Họ và Tên, Toán, Ngữ Văn, Vật Lý, Hóa Học, Sinh Học, Lịch Sử, Địa Lý, GDCD, KHTN, KHXH, Ngoại Ngữ, Ghi Chú, Tỉnh
HT1206798,,,8.25,,,,9.25,9.0,,,,,,Ha Tinh
HT1202750,,5.4,8.25,,,,8.25,9.0,9.25,,,3.0,N1,Ha Tinh
HT1205212,,7.0,8.25,,,,5.0,8.25,7.0,,,7.2,N1,Ha Tinh
HT1208363,,4.2,8.25,,,,9.0,9.0,8.25,,,4.0,N1,Ha Tinh
HT1206783,,6.8,8.25,,,,5.75,7.0,7.5,,,7.6,N1,Ha Tinh
HT1204243,,7.2,8.25,4.25,5.0,3.5,,,,,,4.6,N1,Ha Tinh
HT1206849,,7.4,8.25,,,,4.25,5.75,6.25,,,7.2,N1,Ha Tinh
HT1204285,,8.0,8.25,7.75,5.75,5.5,,,,,,9.2,N1,Ha Tinh
HT1203394,,6.4,8.25,,,,5.25,5.75,8.75,,,6.2,N1,Ha Tinh
HT1208412,,7.2,8.25,,,,6.5,8.25,8.75,,,8.4,N1,Ha Tinh
HT1202022,,4.4,8.25,,,,9.0,9.25,8.5,,,4.2,N1,Ha Tinh
HT1207176,,7.4,8.25,,,,7.25,7.75,8.5,,,9.6,N1,Ha Tinh
HT1207215,,8.8,8.25,,,,4.0,6.0,7.75,,,8.4,N1,Ha Tinh
HT1201988,,,8.25,,,,9.5,9.5,,,,,,Ha Tinh
HT1200050,,7.8,8.25,,,,5.0,5.75,7.5,,,7.2,N1,Ha Tinh
HT1203186,,4.6,8.25,,,,9.25,9.5,8.5,,,5.2,N1,Ha Tinh
HT1207370,,4.2,8.25,,,,7.5,9.5,8.5,,,4.6,N1,Ha Tinh
HT1207098,,5.6,8.25,,,,3.25,5.25,6.75,,,9.2,N1,Ha Tinh
HT1201305,,7.4,8.25,3.5,3.5,3.0,,,,,,4.2,N1,Ha Tinh
HT1200446,,7.0,8.25,,,,4.25,6.5,7.25,,,9.0,N1,Ha Tinh
HT1202977,,8.0,8.25,,,,4.25,4.0,6.0,,,5.0,N1,Ha Tinh
HT1208318,,8.4,8.25,,,,9.0,8.0,9.25,,,4.2,N1,Ha Tinh
HT1207817,,4.8,8.25,,,,7.0,5.75,7.0,,,2.4,N1,Ha Tinh
HT1200895,,,8.25,,,,8.0,8.75,,,,,,Ha Tinh
HT1205039,,3.8,8.25,,,,8.25,9.0,7.5,,,2.4,N1,Ha Tinh
HT1204860,,6.6,8.25,,,,8.0,7.75,9.0,,,5.2,N1,Ha Tinh
HT1203157,,6.0,8.25,,,,7.25,8.25,8.25,,,5.0,N1,Ha Tinh
HT1203541,,6.2,8.25,,,,3.25,6.75,7.75,,,7.2,N1,Ha Tinh
HT1205393,,4.0,8.25,,,,9.0,10.0,6.5,,,3.2,N1,Ha Tinh
HT1203845,,6.8,8.25,,,,7.75,8.5,10.0,,,5.2,N1,Ha Tinh
HT1203472,,5.0,8.25,,,,6.75,8.0,6.75,,,3.6,N1,Ha Tinh
HT1204912,,,8.25,,,,8.75,8.25,,,,,,Ha Tinh
HT1203041,,5.6,8.25,,,,6.25,8.25,8.0,,,2.8,N1,Ha Tinh
HT1203818,,8.8,8.25,,,,5.25,6.75,6.5,,,9.6,N1,Ha Tinh
HT1203304,,6.6,8.25,,,,3.75,5.25,6.25,,,5.4,N1,Ha Tinh
HT1203717,,5.2,8.25,,,,7.5,9.0,8.75,,,4.8,N1,Ha Tinh
HT1205989,,3.8,8.25,,,,4.5,5.25,7.5,,,6.4,N1,Ha Tinh
HT1207856,,8.0,8.25,,,,6.25,7.5,8.75,,,6.0,N1,Ha Tinh
HT1200096,,9.0,8.25,,,,5.25,6.5,7.25,,,9.6,N3,Ha Tinh
HT1207758,,6.4,8.25,,,,4.0,7.5,8.0,,,4.2,N1,Ha Tinh
HT1204750,,7.0,8.25,,,,7.0,7.5,8.5,,,9.4,N1,Ha Tinh
HT1200287,,9.0,8.25,,,,9.5,7.25,,,,8.4,N1,Ha Tinh
HT1200409,,5.6,8.25,,,,8.25,9.0,9.0,,,5.8,N1,Ha Tinh
HT1207674,,6.2,8.25,,,,8.25,8.25,,,,,,Ha Tinh
HT1202437,,4.8,8.25,,,,6.5,7.25,8.25,,,5.8,N1,Ha Tinh
HT1201446,,,8.25,,,,9.25,9.75,,,,,,Ha Tinh
HT1204240,,7.4,8.08,,,,5.75,6.5,7.75,,,9.4,N1,Ha Tinh
HT1202544,,7.8,8.0,,,,4.25,5.25,6.5,,,7.8,N1,Ha Tinh
HT1206672,,5.0,8.0,,,,6.25,8.25,6.75,,,5.0,N1,Ha Tinh
HT1200506,,4.6,8.0,,,,8.5,9.0,7.5,,,4.4,N1,Ha Tinh
HT1202572,,6.8,8.0,,,,7.0,7.5,8.0,,,5.2,N1,Ha Tinh
HT1207972,,8.0,8.0,,,,4.75,5.75,9.5,,,8.2,N1,Ha Tinh
HT1206608,,7.8,8.0,,,,5.5,7.0,7.25,,,6.2,N1,Ha Tinh
HT1200219,,8.2,8.0,,,,3.5,6.0,7.25,,,8.4,N1,Ha Tinh
HT1203290,,4.0,8.0,,,,7.5,8.25,7.75,,,2.4,N1,Ha Tinh
HT1201116,,7.0,8.0,,,,3.75,6.0,6.75,,,5.0,N1,Ha Tinh
HT1201323,,7.4,8.0,5.25,8.25,7.75,,,,,,5.4,N1,Ha Tinh
HT1201005,,7.0,8.0,,,,5.25,8.25,7.25,,,4.8,N1,Ha Tinh
HT1200707,,7.4,8.0,,,,4.75,6.0,8.5,,,7.6,N1,Ha Tinh
HT1203245,,4.2,8.0,,,,7.25,8.0,9.0,,,3.6,N1,Ha Tinh
HT1203776,,7.8,8.0,,,,4.0,6.5,8.5,,,5.8,N1,Ha Tinh
HT1205644,,7.6,8.0,,,,6.25,8.5,7.5,,,4.4,N1,Ha Tinh
HT1206437,,5.0,8.0,,,,4.5,8.0,7.5,,,5.4,N1,Ha Tinh
HT1207289,,7.6,8.0,,,,7.0,7.25,7.75,,,5.4,N1,Ha Tinh
HT1200535,,5.8,8.0,,,,8.25,7.75,8.5,,,4.4,N1,Ha Tinh
HT1201020,,7.6,8.0,6.5,4.75,3.75,,,,,,4.6,N1,Ha Tinh
HT1202908,,6.4,8.0,7.25,4.5,4.75,,,,,,3.0,N1,Ha Tinh
HT1206404,,7.2,8.0,,,,4.75,7.5,8.5,,,7.0,N1,Ha Tinh
HT1207301,,6.8,8.0,,,,4.5,5.5,6.5,,,4.0,N1,Ha Tinh
HT1203176,,3.2,8.0,,,,6.75,6.25,6.0,,,3.2,N1,Ha Tinh
HT1206390,,7.4,8.0,6.5,6.0,4.25,,,,,,4.0,N1,Ha Tinh
HT1205639,,7.2,8.0,,,,3.0,4.75,6.0,,,7.8,N1,Ha Tinh
HT1202988,,7.4,8.0,,,,6.75,6.25,6.75,,,4.6,N1,Ha Tinh
HT1202683,,7.0,8.0,,,,5.0,7.75,7.5,,,9.4,N1,Ha Tinh
HT1201027,,4.6,8.0,,,,9.0,8.75,8.5,,,2.8,N1,Ha Tinh
HT1201169,,,8.0,,,,9.5,9.5,,,,,,Ha Tinh
HT1203970,,7.6,8.0,,,,3.25,6.0,4.75,,,8.0,N1,Ha Tinh
HT1203900,,6.8,8.0,,,,9.25,7.25,8.0,,,3.8,N1,Ha Tinh
HT1203959,,7.0,8.0,,,,7.25,8.25,8.0,,,3.8,N1,Ha Tinh
HT1201609,,5.6,8.0,,,,7.75,7.75,8.5,,,3.2,N1,Ha Tinh
HT1206309,,7.6,8.0,5.75,2.25,4.5,5.0,6.5,8.5,,,7.8,N1,Ha Tinh
HT1203054,,3.6,8.0,,,,8.25,8.0,7.0,,,4.8,N1,Ha Tinh
HT1206249,,4.4,8.0,,,,3.75,7.0,8.75,,,4.6,N1,Ha Tinh
HT1203069,,8.8,8.0,7.75,6.0,5.75,,,,,,6.8,N1,Ha Tinh
HT1201409,,6.6,8.0,,,,6.75,6.5,9.5,,,5.2,N1,Ha Tinh
HT1201018,,5.0,8.0,,,,6.0,7.25,8.0,,,4.2,N1,Ha Tinh
HT1201406,,7.0,8.0,,,,4.25,7.5,8.0,,,5.6,N1,Ha Tinh
HT1206187,,7.4,8.0,,,,7.0,7.25,9.0,,,7.2,N1,Ha Tinh
HT1208290,,4.8,8.0,,,,7.5,9.0,9.25,,,4.2,N1,Ha Tinh
HT1207526,,5.8,8.0,,,,4.25,7.5,7.0,,,4.4,N1,Ha Tinh
HT1206161,,6.6,8.0,,,,4.25,5.5,7.0,,,6.6,N1,Ha Tinh
HT1202717,,7.4,8.0,,,,7.5,7.0,8.5,,,6.2,N1,Ha Tinh
HT1207342,,8.6,8.0,,,,4.5,6.5,8.5,,,8.6,N1,Ha Tinh
HT1205774,,5.4,8.0,,,,5.25,7.25,7.0,,,2.8,N1,Ha Tinh
HT1202742,,6.6,8.0,,,,4.0,6.0,7.75,,,8.8,N1,Ha Tinh
HT1202744,,5.0,8.0,,,,4.0,6.75,7.25,,,2.8,N1,Ha Tinh
HT1205474,,5.6,8.0,5.0,4.0,5.0,,,,,,3.6,N1,Ha Tinh
HT1200656,,6.8,8.0,,,,3.5,8.25,8.5,,,6.8,N1,Ha Tinh
HT1208211,,,8.0,,,,9.25,9.25,,,,,,Ha Tinh
HT1204193,,8.4,8.0,,,,6.75,8.5,8.0,,,8.4,N1,Ha Tinh
HT1201359,,4.6,8.0,,,,6.25,7.0,9.25,,,5.0,N1,Ha Tinh
HT1202764,,6.0,8.0,,,,3.0,4.5,5.5,,,2.2,N1,Ha Tinh
HT1206538,,5.4,8.0,,,,7.0,8.5,8.25,,,3.2,N1,Ha Tinh
HT1202794,,7.8,8.0,,,,4.5,6.25,7.75,,,5.4,N1,Ha Tinh
HT1206500,,6.2,8.0,,,,4.75,6.5,7.75,,,6.2,N1,Ha Tinh
HT1200636,,5.0,8.0,,,,5.0,6.75,8.0,,,2.0,N1,Ha Tinh
HT1204143,,7.8,8.0,3.5,3.25,4.0,2.5,5.25,7.0,,,8.8,N1,Ha Tinh
HT1201592,,6.8,8.0,,,,3.25,7.5,7.0,,,3.8,N1,Ha Tinh
HT1201595,,8.0,8.0,,,,5.0,7.75,8.25,,,6.6,N1,Ha Tinh
HT1203344,,8.8,8.0,,,,5.25,7.5,8.0,,,9.4,N1,Ha Tinh
HT1204291,,8.0,8.0,4.75,7.25,7.25,,,,,,4.4,N1,Ha Tinh
HT1200204,,6.6,8.0,,,,4.75,7.5,8.0,,,4.6,N1,Ha Tinh
HT1200089,,6.4,8.0,,,,3.25,6.75,7.75,,,4.2,N1,Ha Tinh
HT1207024,,2.6,8.0,,,,3.75,6.5,8.5,,,7.6,N1,Ha Tinh
HT1207017,,7.4,8.0,,,,6.75,7.0,8.25,,,5.0,N1,Ha Tinh
HT1205085,,8.6,8.0,,,,5.5,8.0,8.5,,,6.4,N1,Ha Tinh
HT1202058,,8.0,8.0,,,,6.25,7.75,8.75,,,7.8,N1,Ha Tinh
HT1203473,,7.4,8.0,,,,5.5,7.25,8.0,,,4.4,N1,Ha Tinh
HT1202067,,4.0,8.0,,,,8.25,9.0,7.0,,,5.2,N1,Ha Tinh
HT1200960,,4.2,8.0,,,,9.5,9.75,7.75,,,3.2,N1,Ha Tinh
HT1201224,,7.2,8.0,4.75,5.5,5.0,,,,,,7.4,N1,Ha Tinh
HT1202089,,5.8,8.0,,,,6.5,7.25,9.25,,,3.2,N1,Ha Tinh
HT1207199,,7.2,8.0,,,,6.25,8.75,7.75,,,2.4,N1,Ha Tinh
HT1205107,,,8.0,,,,8.75,9.0,,,,,,Ha Tinh
HT1202110,,8.0,8.0,4.5,6.75,5.25,,,,,,7.8,N1,Ha Tinh
HT1206916,,7.0,8.0,,,,3.75,4.75,5.0,,,8.2,N1,Ha Tinh
HT1204699,,7.6,8.0,,,,4.5,7.75,8.5,,,8.8,N1,Ha Tinh
HT1206963,,4.2,8.0,,,,6.0,5.75,8.5,,,2.8,N1,Ha Tinh
HT1200093,,6.2,8.0,,,,5.5,6.5,7.0,,,10.0,N1,Ha Tinh
HT1200967,,5.0,8.0,,,,2.75,6.75,7.75,,,2.0,N1,Ha Tinh
HT1202142,,3.6,8.0,,,,7.75,8.25,8.5,,,4.2,N1,Ha Tinh
HT1203438,,5.6,8.0,,,,5.0,7.0,6.5,,,2.8,N1,Ha Tinh
HT1200102,,8.6,8.0,,,,7.5,8.25,7.5,,,5.2,N1,Ha Tinh
HT1200728,,7.4,8.0,,,,6.75,6.25,7.5,,,9.2,N1,Ha Tinh
HT1204678,,4.4,8.0,,,,3.5,6.75,7.25,,,2.4,N1,Ha Tinh
HT1201234,,7.6,8.0,,,,6.5,7.75,8.5,,,7.8,N1,Ha Tinh
HT1203427,,4.0,8.0,,,,7.25,8.5,7.5,,,3.8,N1,Ha Tinh
HT1200450,,8.6,8.0,,,,8.5,,,,,,,Ha Tinh
HT1207037,,6.8,8.0,,,,4.25,6.0,6.0,,,6.2,N1,Ha Tinh
HT1204791,,7.8,8.0,,,,6.75,8.25,7.25,,,8.8,N1,Ha Tinh
HT1207766,,4.6,8.0,,,,6.25,9.0,6.5,,,2.6,N1,Ha Tinh
HT1205965,,6.6,8.0,,,,6.0,6.0,8.5,,,4.2,N1,Ha Tinh
HT1207131,,7.2,8.0,,,,5.25,7.0,7.25,,,6.4,N1,Ha Tinh
HT1204922,,4.8,8.0,,,,6.25,9.0,9.25,,,4.0,N1,Ha Tinh
HT1207108,,4.8,8.0,,,,6.75,7.75,7.25,,,4.8,N1,Ha Tinh
HT1201525,,7.0,8.0,,,,5.25,8.0,8.0,,,7.6,N1,Ha Tinh
HT1204997,,6.2,8.0,6.5,6.0,4.5,,,,,,3.8,N1,Ha Tinh
HT1203558,,7.6,8.0,,,,4.75,6.0,8.25,,,4.0,N1,Ha Tinh
HT1205967,,6.4,8.0,,,,2.0,5.25,7.0,,,8.4,N3,Ha Tinh
HT1201529,,7.0,8.0,5.5,6.25,5.25,,,,,,4.8,N1,Ha Tinh
HT1200021,,6.6,8.0,,,,4.0,7.75,7.25,,,5.8,N1,Ha Tinh
HT1200023,,8.6,8.0,,,,6.0,7.0,9.25,,,8.4,N1,Ha Tinh
HT1207794,,6.4,8.0,,,,6.25,6.25,9.25,,,3.6,N1,Ha Tinh
HT1208165,,5.0,8.0,,,,9.0,9.0,8.75,,,3.0,N1,Ha Tinh
HT1201961,,8.6,8.0,,,,5.5,7.5,8.75,,,8.0,N1,Ha Tinh
HT1207813,,5.8,8.0,,,,4.0,6.75,7.25,,,5.2,N1,Ha Tinh
HT1207770,,6.8,8.0,,,,4.5,6.75,8.25,,,2.6,N1,Ha Tinh
HT1205048,,7.0,8.0,,,,3.75,6.25,8.0,,,7.8,N1,Ha Tinh
HT1200891,,7.6,8.0,,,,5.25,7.75,7.75,,,5.2,N1,Ha Tinh
HT1207822,,6.6,8.0,,,,5.75,7.25,9.0,,,7.2,N1,Ha Tinh
HT1201205,,8.2,8.0,,,,3.5,6.0,7.5,,,9.4,N3,Ha Tinh
HT1200048,,6.6,8.0,,,,3.5,6.5,8.5,,,5.4,N1,Ha Tinh
HT1204817,,5.0,8.0,,,,7.25,8.25,9.25,,,5.8,N1,Ha Tinh
HT1201519,,5.0,8.0,,,,6.75,7.75,7.75,,,3.4,N1,Ha Tinh
HT1200108,,7.6,8.0,,,,6.25,6.75,9.0,,,7.6,N1,Ha Tinh
HT1201542,,7.2,8.0,,,,1.75,5.5,5.5,,,8.6,N1,Ha Tinh
HT1206912,,7.2,8.0,,,,6.25,8.25,9.5,,,5.0,N1,Ha Tinh
HT1207563,,8.4,8.0,,,,6.75,7.0,8.5,,,6.8,N1,Ha Tinh
HT1206814,,4.4,8.0,,,,9.5,9.25,8.25,,,5.2,N1,Ha Tinh
HT1206051,,6.8,8.0,,,,5.75,5.5,6.75,,,5.0,N1,Ha Tinh
HT1203690,,7.6,8.0,5.0,5.25,6.0,,,,,,5.8,N1,Ha Tinh
HT1203388,,7.4,8.0,,,,3.25,5.75,8.5,,,3.2,N1,Ha Tinh
HT1204652,,8.2,8.0,7.25,4.0,4.0,,,,,,6.8,N1,Ha Tinh
HT1200989,,5.6,8.0,,,,4.0,6.5,8.75,,,2.2,N1,Ha Tinh
HT1206766,,8.0,8.0,,,,6.5,7.75,9.5,,,8.4,N1,Ha Tinh
HT1206072,,6.2,8.0,,,,6.25,7.5,8.25,,,3.8,N1,Ha Tinh
HT1206760,,5.8,8.0,,,,4.25,5.25,6.5,,,4.2,N1,Ha Tinh
HT1207403,,7.2,8.0,,,,6.0,6.75,8.0,,,5.2,N1,Ha Tinh
HT1207924,,6.6,8.0,6.0,6.0,6.25,,,,,,3.4,N1,Ha Tinh
HT1205835,,6.6,8.0,,,,3.25,6.25,7.75,,,8.2,N1,Ha Tinh
HT1201698,,7.6,8.0,,,,6.0,7.0,8.5,,,8.2,N1,Ha Tinh
HT1204391,,7.2,8.0,,,,3.75,6.5,8.5,,,4.8,N1,Ha Tinh
HT1200182,,6.2,8.0,,,,8.25,8.25,8.25,,,3.2,N1,Ha Tinh
HT1200184,,7.8,8.0,,,,9.25,8.75,6.75,,,5.8,N1,Ha Tinh
HT1206735,,5.2,8.0,,,,4.0,6.0,7.0,,,4.0,N1,Ha Tinh
HT1208333,,7.2,8.0,,,,6.25,8.0,8.0,,,6.6,N1,Ha Tinh
HT1202478,,6.6,8.0,,,,6.5,6.75,8.75,,,5.6,N1,Ha Tinh
HT1205361,,7.6,8.0,,,,5.5,7.75,8.75,,,5.6,N1,Ha Tinh
HT1208322,,8.0,8.0,,,,3.0,6.5,7.25,,,4.8,N1,Ha Tinh
HT1207946,,8.0,8.0,5.0,7.75,7.0,,,,,,6.8,N1,Ha Tinh
HT1203346,,5.4,8.0,,,,6.75,8.0,7.0,,,3.6,N1,Ha Tinh
HT1204537,,7.2,8.0,,,,4.25,5.75,8.75,,,4.4,N1,Ha Tinh
HT1200479,,7.2,8.0,5.5,8.5,5.25,,,,,,4.4,N1,Ha Tinh
HT1202292,,5.4,8.0,,,,8.0,6.75,8.75,,,3.4,N1,Ha Tinh
HT1206852,,7.0,8.0,,,,4.5,6.75,8.5,,,5.2,N1,Ha Tinh
HT1204644,,5.0,8.0,,,,5.75,7.75,8.75,,,3.4,N1,Ha Tinh
HT1204639,,7.0,8.0,,,,6.5,7.5,8.75,,,5.0,N1,Ha Tinh
HT1205885,,6.0,8.0,,,,7.75,6.75,7.75,,,5.2,N1,Ha Tinh
HT1207216,,6.8,8.0,,,,3.75,6.25,7.75,,,7.0,N1,Ha Tinh
HT1202233,,6.8,8.0,,,,4.75,8.25,9.0,,,8.0,N1,Ha Tinh
HT1207886,,6.6,8.0,,,,6.5,6.0,8.0,,,7.2,N1,Ha Tinh
HT1201258,,4.0,8.0,,,,6.5,7.5,6.75,,,2.8,N1,Ha Tinh
HT1206025,,8.0,8.0,,,,4.25,6.0,8.0,,,4.2,N1,Ha Tinh
HT1203086,,5.8,8.0,,,,8.75,8.25,8.75,,,3.6,N1,Ha Tinh
