Số Báo Danh, Họ và Tên, Toán, Ngữ Văn, Vật Lý, Hóa Học, Sinh Học, Lịch Sử, Địa Lý, GDCD, KHTN, KHXH, Ngoại Ngữ, Ghi Chú, Tỉnh
HT1200027,,5.6,5.0,,,,3.25,4.75,9.0,,,3.4,N1,Ha Tinh
HT1200028,,7.2,6.0,4.5,4.25,3.75,,,,,,4.6,N1,Ha Tinh
HT1200029,,2.2,2.5,,,,3.5,4.5,,,,,,Ha Tinh
HT1200030,,5.2,5.5,,,,2.25,5.25,8.0,,,3.2,N1,Ha Tinh
HT1200031,,4.2,3.0,,,,3.0,4.0,,,,,,Ha Tinh
HT1200032,,6.4,7.25,,,,7.5,8.25,9.75,,,3.2,N1,Ha Tinh
HT1200033,,6.8,6.0,,,,5.0,8.25,8.0,,,4.6,N1,Ha Tinh
HT1200034,,7.6,5.5,2.0,6.5,7.0,,,,,,2.4,N1,Ha Tinh
HT1200035,,5.0,5.5,,,,4.0,6.75,6.0,,,3.2,N1,Ha Tinh
HT1200036,,4.6,6.08,,,,3.0,4.5,6.25,,,4.0,N1,Ha Tinh
HT1200037,,6.0,5.0,,,,,,,,,3.2,N1,Ha Tinh
HT1200038,,7.0,7.0,,,,6.25,8.5,9.0,,,5.2,N1,Ha Tinh
HT1200039,,6.2,7.0,5.75,4.75,4.5,,,,,,4.0,N1,Ha Tinh
HT1200040,,,5.25,,,,2.25,6.5,,,,,,Ha Tinh
HT1200041,,6.8,6.25,6.5,7.25,6.75,,,,,,5.0,N1,Ha Tinh
HT1200042,,5.4,7.25,,,,1.75,7.0,7.75,,,4.6,N1,Ha Tinh
HT1200043,,7.0,6.0,6.0,4.0,4.0,,,,,,3.4,N1,Ha Tinh
HT1200044,,3.8,7.0,,,,4.0,4.75,,,,,,Ha Tinh
HT1200045,,8.8,7.5,7.75,4.0,4.75,,,,,,6.8,N1,Ha Tinh
HT1200046,,2.6,5.75,,,,4.5,4.75,9.25,,,4.4,N1,Ha Tinh
HT1200047,,3.4,4.75,,,,4.0,5.25,,,,,,Ha Tinh
HT1200048,,6.6,8.0,,,,3.5,6.5,8.5,,,5.4,N1,Ha Tinh
HT1200049,,4.4,6.75,,,,4.25,8.5,7.5,,,3.0,N1,Ha Tinh
HT1200050,,7.8,8.25,,,,5.0,5.75,7.5,,,7.2,N1,Ha Tinh
HT1200051,,6.6,6.75,,,,4.0,6.5,8.75,,,5.2,N1,Ha Tinh
HT1200052,,4.8,7.25,,,,5.0,7.0,8.5,,,2.4,N1,Ha Tinh
HT1200053,,5.6,7.0,,,,5.75,7.5,8.75,,,3.8,N1,Ha Tinh
HT1200054,,3.4,4.5,,,,6.25,5.75,,,,,,Ha Tinh
HT1200055,,3.4,7.25,,,,7.5,7.0,7.0,,,3.0,N1,Ha Tinh
HT1200056,,4.0,4.25,,,,4.25,4.25,5.0,,,1.8,N1,Ha Tinh
HT1200057,,6.6,7.5,,,,5.75,8.0,8.25,,,5.2,N1,Ha Tinh
HT1200058,,4.8,7.0,,,,6.75,7.5,8.5,,,3.8,N1,Ha Tinh
HT1200059,,5.8,6.5,,,,9.0,8.75,7.5,,,4.4,N1,Ha Tinh
HT1200060,,4.8,6.75,,,,4.75,5.5,8.75,,,2.0,N1,Ha Tinh
HT1200061,,7.6,5.5,6.25,5.75,3.5,,,,,,2.4,N1,Ha Tinh
HT1200062,,7.6,5.75,6.5,6.0,2.5,,,,,,3.6,N1,Ha Tinh
HT1200063,,4.4,7.5,,,,4.25,6.25,8.5,,,5.2,N1,Ha Tinh
HT1200064,,5.2,6.5,,,,5.25,6.0,8.25,,,4.2,N1,Ha Tinh
HT1200065,,7.0,8.5,,,,7.5,8.0,8.75,,,4.2,N1,Ha Tinh
HT1200066,,6.0,7.0,,,,4.75,5.75,8.5,,,4.2,N1,Ha Tinh
HT1200067,,7.8,5.0,7.25,6.25,4.0,,,,,,3.8,N1,Ha Tinh
HT1200068,,6.0,5.5,,,,4.75,6.0,5.75,,,3.6,N1,Ha Tinh
HT1200069,,5.0,7.0,,,,5.25,7.25,8.75,,,4.4,N1,Ha Tinh
HT1200070,,4.8,7.25,,,,3.25,5.75,7.0,,,3.8,N1,Ha Tinh
HT1200071,,6.2,6.0,,,,5.0,7.0,7.5,,,4.0,N1,Ha Tinh
HT1200072,,5.6,6.0,,,,5.0,5.5,7.75,,,3.4,N1,Ha Tinh
HT1200073,,5.2,6.25,,,,3.25,5.0,6.0,,,2.6,N1,Ha Tinh
HT1200074,,2.4,3.5,,,,3.0,5.25,,,,,,Ha Tinh
HT1200075,,7.6,4.0,6.25,7.5,3.5,,,,,,3.6,N1,Ha Tinh
HT1200076,,5.8,6.25,6.75,5.75,4.0,,,,,,4.4,N1,Ha Tinh
HT1200077,,7.0,,6.75,6.5,2.25,,,,,,,,Ha Tinh
HT1200078,,5.2,6.75,,,,4.0,4.5,7.75,,,3.8,N1,Ha Tinh
HT1200079,,5.4,6.0,,,,5.25,7.75,9.0,,,2.0,N1,Ha Tinh
HT1200080,,4.4,6.75,,,,4.75,7.5,8.0,,,1.8,N1,Ha Tinh
HT1200081,,7.4,6.5,5.25,3.25,4.25,,,,,,3.4,N1,Ha Tinh
HT1200082,,6.2,7.0,,,,6.5,8.5,8.0,,,5.0,N1,Ha Tinh
HT1200083,,3.8,7.25,,,,4.75,7.0,8.0,,,3.4,N1,Ha Tinh
HT1200084,,5.4,5.0,,,,3.5,8.0,7.5,,,4.8,N1,Ha Tinh
HT1200085,,,7.75,,,,8.0,9.25,9.75,,,,,Ha Tinh
HT1200086,,5.0,7.0,,,,5.75,8.5,8.0,,,3.0,N1,Ha Tinh
HT1200087,,5.2,6.0,,,,3.5,7.25,7.5,,,2.2,N1,Ha Tinh
HT1200088,,6.0,5.5,,,,5.0,6.5,7.75,,,3.8,N1,Ha Tinh
HT1200089,,6.4,8.0,,,,3.25,6.75,7.75,,,4.2,N1,Ha Tinh
HT1200090,,3.4,4.0,,,,4.75,6.0,,,,,,Ha Tinh
HT1200091,,5.4,6.25,,,,3.5,5.5,7.0,,,3.6,N1,Ha Tinh
HT1200092,,5.4,7.0,,,,5.5,8.0,9.25,,,3.0,N1,Ha Tinh
HT1200093,,6.2,8.0,,,,5.5,6.5,7.0,,,10.0,N1,Ha Tinh
HT1200094,,4.0,5.25,,,,3.5,5.0,6.0,,,1.8,N1,Ha Tinh
HT1200095,,4.2,5.0,,,,4.75,5.75,7.25,,,4.0,N1,Ha Tinh
HT1200096,,9.0,8.25,,,,5.25,6.5,7.25,,,9.6,N3,Ha Tinh
HT1200097,,5.4,7.25,,,,5.5,8.5,9.75,,,3.8,N1,Ha Tinh
HT1200098,,6.4,5.75,,,,6.0,7.25,7.25,,,2.4,N1,Ha Tinh
HT1200099,,6.6,6.75,5.75,6.0,5.25,,,,,,2.8,N1,Ha Tinh
HT1200100,,5.4,6.25,,,,3.5,6.0,8.0,,,3.2,N1,Ha Tinh
HT1200101,,3.4,5.5,,,,3.5,6.25,6.75,,,1.6,N1,Ha Tinh
HT1200102,,8.6,8.0,,,,7.5,8.25,7.5,,,5.2,N1,Ha Tinh
HT1200103,,5.6,6.0,,,,7.0,5.75,7.25,,,4.8,N1,Ha Tinh
HT1200104,,6.8,5.5,,,,5.0,7.25,8.0,,,3.4,N1,Ha Tinh
HT1200105,,7.6,5.5,7.5,4.75,5.5,,,,,,4.4,N1,Ha Tinh
HT1200106,,5.8,5.0,,,,5.75,7.75,6.5,,,3.8,N1,Ha Tinh
HT1200107,,3.2,,3.75,,,,,,,,2.6,N1,Ha Tinh
HT1200108,,7.6,8.0,,,,6.25,6.75,9.0,,,7.6,N1,Ha Tinh
HT1200109,,5.4,6.75,,,,7.75,9.25,8.0,,,4.0,N1,Ha Tinh
HT1200110,,8.4,5.5,8.0,7.25,3.75,,,,,,4.2,N1,Ha Tinh
HT1200111,,3.2,6.75,,,,4.0,6.75,8.0,,,3.8,N1,Ha Tinh
HT1200112,,5.0,7.25,,,,3.25,6.75,7.0,,,5.6,N1,Ha Tinh
HT1200113,,8.0,5.5,7.25,5.0,4.5,,,,,,6.0,N1,Ha Tinh
HT1200114,,3.2,4.0,,,,2.5,4.75,7.0,,,2.8,N1,Ha Tinh
HT1200115,,7.2,7.25,,,,5.25,6.75,7.25,,,7.2,N1,Ha Tinh
HT1200116,,6.4,6.5,,,,6.75,7.25,9.0,,,4.6,N1,Ha Tinh
HT1200117,,5.2,7.25,,,,6.5,6.75,9.0,,,3.0,N1,Ha Tinh
HT1200118,,6.4,6.25,4.0,6.75,7.75,,,,,,4.2,N1,Ha Tinh
HT1200119,,6.8,7.75,,,,4.0,5.75,5.5,,,9.8,N1,Ha Tinh
HT1200120,,2.8,5.75,,,,4.75,6.25,7.0,,,2.6,N1,Ha Tinh
HT1200121,,3.4,5.75,,,,4.5,6.5,7.5,,,3.0,N1,Ha Tinh
HT1200122,,4.4,6.75,,,,4.5,4.75,7.5,,,3.4,N1,Ha Tinh
HT1200123,,7.4,5.75,7.25,8.5,4.5,,,,,,3.8,N1,Ha Tinh
HT1200124,,4.2,5.75,,,,5.25,5.5,8.0,,,3.6,N1,Ha Tinh
HT1200125,,4.6,5.75,,,,4.0,7.5,6.5,,,3.6,N1,Ha Tinh
HT1200126,,5.0,5.5,,,,3.75,6.25,6.5,,,2.6,N1,Ha Tinh
HT1200127,,5.4,5.25,,,,5.75,7.25,7.25,,,3.6,N1,Ha Tinh
HT1200128,,8.2,7.75,,,,5.0,6.75,8.25,,,9.0,N1,Ha Tinh
HT1200129,,5.4,6.0,,,,3.75,6.25,7.25,,,3.0,N1,Ha Tinh
HT1200130,,6.8,7.25,5.75,7.25,3.5,,,,,,3.8,N1,Ha Tinh
HT1200131,,3.6,3.75,,,,6.0,6.75,,,,,,Ha Tinh
HT1200132,,6.2,6.75,,,,6.0,7.0,8.0,,,3.4,N1,Ha Tinh
HT1200133,,6.6,5.25,5.75,6.0,2.5,,,,,,3.4,N1,Ha Tinh
HT1200134,,5.8,6.25,,,,4.75,7.75,8.75,,,6.0,N1,Ha Tinh
HT1200135,,8.2,5.5,7.75,8.5,7.25,,,,,,5.6,N1,Ha Tinh
HT1200136,,8.2,6.75,7.5,7.25,5.25,,,,,,4.0,N1,Ha Tinh
HT1200137,,4.2,3.5,,,,3.25,6.0,,,,,,Ha Tinh
HT1200138,,5.2,4.0,,,,5.5,8.5,8.5,,,2.8,N1,Ha Tinh
HT1200139,,4.6,4.25,,,,5.5,7.25,8.25,,,1.8,N1,Ha Tinh
HT1200140,,5.4,4.5,,,,4.75,6.75,8.0,,,2.0,N1,Ha Tinh
HT1200141,,4.0,5.25,,,,4.5,5.25,7.0,,,2.6,N1,Ha Tinh
HT1200142,,8.0,7.75,,,,5.5,5.75,7.5,,,4.0,N1,Ha Tinh
HT1200143,,5.8,5.0,,,,3.25,6.75,,,,,,Ha Tinh
HT1200144,,4.6,6.0,,,,4.75,5.5,8.0,,,2.8,N1,Ha Tinh
HT1200145,,6.4,5.25,,,,4.0,4.0,7.25,,,4.0,N1,Ha Tinh
HT1200146,,3.2,7.0,,,,7.75,8.25,7.75,,,3.8,N1,Ha Tinh
HT1200147,,8.4,7.25,8.0,4.5,5.25,,,,,,9.0,N1,Ha Tinh
HT1200148,,4.0,6.75,,,,7.5,7.75,6.25,,,3.6,N1,Ha Tinh
HT1200149,,5.8,7.5,,,,2.5,6.25,7.5,,,6.4,N1,Ha Tinh
HT1200150,,8.6,8.25,,,,3.75,6.0,8.0,,,9.0,N1,Ha Tinh
HT1200151,,6.4,6.5,,,,4.0,7.5,8.0,,,5.0,N1,Ha Tinh
HT1200152,,7.8,7.25,,,,7.75,7.25,7.75,,,9.6,N1,Ha Tinh
HT1200153,,6.4,4.25,,,,5.0,5.75,6.75,,,3.8,N1,Ha Tinh
HT1200154,,8.4,6.0,6.25,8.5,7.75,,,,,,3.2,N1,Ha Tinh
HT1200155,,5.8,5.5,,,,5.75,6.75,7.5,,,2.8,N1,Ha Tinh
HT1200156,,4.8,6.25,,,,6.0,6.25,8.5,,,2.0,N1,Ha Tinh
HT1200157,,4.6,5.0,,,,4.75,4.0,6.5,,,1.8,N1,Ha Tinh
HT1200158,,7.8,5.0,,,,5.5,7.0,7.0,,,2.4,N1,Ha Tinh
HT1200159,,5.2,5.75,,,,4.0,6.0,7.75,,,2.8,N1,Ha Tinh
HT1200160,,6.6,6.75,,,,5.0,6.25,9.25,,,4.4,N1,Ha Tinh
HT1200161,,5.4,7.0,,,,2.75,6.0,9.0,,,2.2,N1,Ha Tinh
HT1200162,,2.8,6.0,,,,3.75,6.75,7.25,,,2.0,N1,Ha Tinh
HT1200163,,8.2,6.0,7.0,8.5,4.5,,,,,,5.4,N1,Ha Tinh
HT1200164,,4.0,6.25,,,,4.75,7.0,7.75,,,3.0,N1,Ha Tinh
HT1200165,,7.8,7.75,,,,6.75,6.5,8.75,,,7.4,N1,Ha Tinh
HT1200166,,3.2,6.0,,,,5.75,7.25,6.75,,,1.8,N1,Ha Tinh
HT1200167,,8.2,5.5,5.5,8.75,9.5,,,,,,5.8,N1,Ha Tinh
HT1200168,,5.6,5.75,,,,5.75,7.25,7.75,,,4.0,N1,Ha Tinh
HT1200169,,8.2,6.75,4.75,6.0,9.0,,,,,,4.4,N1,Ha Tinh
HT1200170,,4.2,7.25,,,,5.75,7.25,,,,,,Ha Tinh
HT1200171,,4.0,5.75,,,,3.0,6.0,7.5,,,2.6,N1,Ha Tinh
HT1200172,,8.6,5.75,8.25,7.75,3.75,,,,,,3.4,N1,Ha Tinh
HT1200173,,3.2,3.75,,,,2.25,5.25,,,,,,Ha Tinh
HT1200174,,7.8,6.0,8.0,4.5,5.25,,,,,,7.0,N1,Ha Tinh
HT1200175,,7.2,7.5,,,,3.0,6.25,7.75,,,4.6,N1,Ha Tinh
HT1200176,,7.0,5.58,6.0,5.25,4.25,,,,,,3.8,N1,Ha Tinh
HT1200177,,7.0,6.75,,,,4.5,7.75,8.75,,,4.4,N1,Ha Tinh
HT1200178,,5.2,5.5,,,,6.5,,,,,,,Ha Tinh
HT1200179,,6.6,7.25,,,,6.75,6.75,8.25,,,3.8,N1,Ha Tinh
HT1200180,,5.4,5.5,,,,5.5,6.25,6.5,,,3.2,N1,Ha Tinh
HT1200181,,3.4,4.0,,,,4.0,6.0,4.75,,,1.8,N1,Ha Tinh
HT1200182,,6.2,8.0,,,,8.25,8.25,8.25,,,3.2,N1,Ha Tinh
HT1200183,,5.0,4.5,,,,4.0,6.75,7.25,,,4.6,N1,Ha Tinh
HT1200184,,7.8,8.0,,,,9.25,8.75,6.75,,,5.8,N1,Ha Tinh
HT1200185,,3.0,6.5,,,,2.75,5.75,7.5,,,2.6,N1,Ha Tinh
HT1200186,,5.8,5.5,,,,5.0,6.25,8.25,,,3.6,N1,Ha Tinh
HT1200187,,2.4,3.75,,,,3.75,5.0,,,,,,Ha Tinh
HT1200188,,4.0,5.75,,,,3.25,3.75,6.5,,,3.2,N1,Ha Tinh
HT1200189,,4.4,7.5,,,,5.5,7.0,8.75,,,3.6,N1,Ha Tinh
HT1200190,,3.8,3.0,,,,2.75,5.5,6.25,,,2.2,N1,Ha Tinh
HT1200191,,8.0,6.5,6.5,7.0,4.5,,,,,,5.6,N1,Ha Tinh
HT1200192,,4.2,4.75,,,,4.25,5.25,7.0,,,2.4,N1,Ha Tinh
HT1200193,,8.6,5.75,6.75,7.5,4.5,,,,,,3.4,N1,Ha Tinh
HT1200194,,7.2,7.75,,,,9.25,9.25,6.0,,,2.8,N1,Ha Tinh
HT1200195,,4.0,5.25,,,,4.5,4.5,,,,,,Ha Tinh
HT1200196,,5.6,5.25,,,,4.25,6.0,8.25,,,3.2,N1,Ha Tinh
HT1200197,,3.4,6.0,,,,4.5,4.25,7.0,,,2.0,N1,Ha Tinh
HT1200198,,6.8,6.5,5.25,6.0,6.0,,,,,,3.8,N1,Ha Tinh
HT1200199,,5.2,6.0,,,,4.5,7.5,8.25,,,6.6,N1,Ha Tinh
HT1200200,,6.6,6.5,3.25,4.75,5.25,,,,,,2.6,N1,Ha Tinh
HT1200201,,7.6,5.5,8.75,7.75,5.0,,,,,,3.4,N1,Ha Tinh
HT1200202,,6.4,5.25,,,,3.5,6.75,8.5,,,1.6,N1,Ha Tinh
HT1200203,,8.4,4.75,4.5,9.5,8.75,,,,,,3.4,N1,Ha Tinh
HT1200204,,6.6,8.0,,,,4.75,7.5,8.0,,,4.6,N1,Ha Tinh
HT1200205,,5.8,6.75,,,,3.25,5.75,8.0,,,2.0,N1,Ha Tinh
HT1200206,,8.0,4.75,7.0,6.25,4.75,,,,,,2.2,N1,Ha Tinh
HT1200207,,7.0,6.25,7.25,6.5,5.75,,,,,,3.8,N1,Ha Tinh
HT1200208,,7.4,5.25,5.75,7.25,4.75,,,,,,4.0,N1,Ha Tinh
HT1200209,,2.8,4.0,,,,4.75,5.5,,,,,,Ha Tinh
HT1200210,,7.8,6.25,7.0,6.0,3.5,,,,,,4.8,N1,Ha Tinh
HT1200211,,8.4,5.25,6.25,3.25,5.0,,,,,,7.4,N1,Ha Tinh
HT1200212,,5.2,7.0,,,,4.75,6.5,6.75,,,1.8,N1,Ha Tinh
HT1200213,,5.6,6.5,,,,4.5,6.75,8.5,,,5.0,N1,Ha Tinh
HT1200214,,6.2,5.75,3.5,5.0,6.0,,,,,,3.2,N1,Ha Tinh
HT1200215,,4.4,6.0,,,,4.25,6.25,8.75,,,2.2,N1,Ha Tinh
HT1200216,,6.0,6.25,,,,4.75,5.5,6.75,,,3.2,N1,Ha Tinh
HT1200217,,3.0,5.0,,,,6.75,7.0,9.0,,,4.0,N1,Ha Tinh
HT1200218,,6.4,6.5,,,,3.25,5.75,7.25,,,4.4,N1,Ha Tinh
HT1200219,,8.2,8.0,,,,3.5,6.0,7.25,,,8.4,N1,Ha Tinh
HT1200220,,6.8,6.5,,,,5.0,5.5,8.5,,,2.2,N1,Ha Tinh
HT1200221,,2.4,5.0,2.0,3.25,2.0,5.25,5.25,6.25,,,2.6,N1,Ha Tinh
HT1200222,,7.0,6.0,5.5,5.5,5.75,,,,,,3.0,N1,Ha Tinh
HT1200223,,5.2,4.75,,,,3.75,6.0,6.75,,,2.6,N1,Ha Tinh
HT1200224,,6.0,7.0,,,,4.5,6.5,6.25,,,4.4,N1,Ha Tinh
HT1200225,,5.8,7.25,,,,3.25,6.75,7.25,,,1.4,N1,Ha Tinh
HT1200226,,3.8,5.0,,,,4.5,6.5,7.0,,,2.4,N1,Ha Tinh
HT1200227,,4.2,5.5,,,,4.5,5.0,7.5,,,4.4,N1,Ha Tinh
HT1200228,,5.6,5.5,,,,3.75,6.25,8.25,,,3.0,N1,Ha Tinh
HT1200229,,3.6,2.75,,,,2.75,2.75,3.75,,,4.0,N1,Ha Tinh
HT1200230,,5.6,7.0,,,,4.75,6.0,5.75,,,4.8,N1,Ha Tinh
HT1200231,,7.2,5.5,6.0,5.25,4.75,,,,,,6.8,N1,Ha Tinh
HT1200232,,4.2,6.0,,,,3.0,6.5,7.0,,,2.8,N1,Ha Tinh
HT1200233,,7.2,7.5,6.25,7.5,5.5,,,,,,4.0,N1,Ha Tinh
HT1200234,,4.8,5.75,,,,5.5,6.75,7.5,,,3.8,N1,Ha Tinh
HT1200235,,8.0,7.25,,,,5.0,7.0,7.5,,,6.2,N1,Ha Tinh
HT1200236,,3.8,7.75,,,,6.25,6.5,9.25,,,4.6,N1,Ha Tinh
HT1200237,,6.0,7.0,,,,7.0,7.5,7.75,,,2.8,N1,Ha Tinh
HT1200238,,8.0,5.0,8.0,6.75,2.75,,,,,,3.8,N1,Ha Tinh
HT1200239,,7.4,6.25,8.0,8.0,3.75,,,,,,4.6,N1,Ha Tinh
HT1200240,,2.8,5.75,,,,3.5,6.75,7.75,,,4.0,N1,Ha Tinh
HT1200241,,5.0,5.5,,,,3.25,5.5,8.0,,,3.6,N1,Ha Tinh
HT1200242,,5.8,3.5,,,,3.5,5.25,6.25,,,1.2,N1,Ha Tinh
HT1200243,,9.0,6.25,4.75,8.75,9.25,,,,,,4.2,N1,Ha Tinh
HT1200244,,3.4,5.25,,,,3.0,5.5,,,,,,Ha Tinh
HT1200245,,6.6,5.5,,,,3.75,6.75,8.5,,,3.0,N1,Ha Tinh
HT1200246,,7.4,7.0,,,,7.5,7.5,8.75,,,5.2,N1,Ha Tinh
HT1200247,,5.4,4.5,,,,2.75,4.5,5.0,,,2.0,N1,Ha Tinh
HT1200248,,7.4,4.5,7.75,7.5,3.75,,,,,,2.8,N1,Ha Tinh
HT1200249,,5.0,7.0,,,,3.75,6.5,8.0,,,2.2,N1,Ha Tinh
HT1200250,,4.2,5.5,,,,2.0,5.75,5.0,,,3.6,N1,Ha Tinh
HT1200251,,5.4,6.75,,,,4.25,6.75,6.75,,,2.2,N1,Ha Tinh
HT1200252,,5.2,6.0,,,,6.25,8.0,8.0,,,2.4,N1,Ha Tinh
HT1200253,,3.4,5.0,,,,4.25,5.5,6.75,,,3.4,N1,Ha Tinh
HT1200254,,6.0,7.0,,,,7.5,7.75,7.75,,,3.6,N1,Ha Tinh
HT1200255,,4.0,4.75,,,,4.25,5.0,7.25,,,2.2,N1,Ha Tinh
HT1200256,,4.2,2.75,,,,4.0,6.75,6.5,,,3.0,N1,Ha Tinh
HT1200257,,4.2,2.5,,,,2.5,5.25,,,,,,Ha Tinh
HT1200258,,6.0,5.5,,,,5.75,6.0,9.5,,,4.6,N1,Ha Tinh
HT1200259,,5.2,5.5,,,,5.0,6.25,6.75,,,3.0,N1,Ha Tinh
HT1200260,,4.2,6.0,,,,4.0,7.0,7.75,,,3.2,N1,Ha Tinh
HT1200261,,6.0,7.0,,,,3.75,6.75,8.0,,,3.4,N1,Ha Tinh
HT1200262,,7.4,6.0,4.25,5.0,6.75,,,,,,4.4,N1,Ha Tinh
HT1200263,,4.2,5.5,,,,4.25,5.5,7.0,,,2.4,N1,Ha Tinh
HT1200264,,5.0,6.0,4.5,3.5,4.0,,,,,,3.8,N1,Ha Tinh
HT1200265,,5.8,5.5,,,,5.5,5.75,,,,,,Ha Tinh
HT1200266,,4.4,5.0,,,,6.25,5.5,6.75,,,1.8,N1,Ha Tinh
HT1200267,,1.8,4.75,,,,2.75,4.75,,,,,,Ha Tinh
HT1200268,,6.2,6.25,,,,4.25,5.5,7.75,,,3.8,N1,Ha Tinh
HT1200269,,7.8,4.5,7.5,6.25,4.5,,,,,,4.0,N1,Ha Tinh
HT1200270,,5.8,7.75,,,,4.75,7.25,8.5,,,3.6,N1,Ha Tinh
HT1200271,,6.2,5.5,,,,4.75,6.75,8.5,,,3.2,N1,Ha Tinh
HT1200272,,6.0,4.5,,,,5.25,8.25,9.25,,,2.8,N1,Ha Tinh
HT1200273,,7.4,6.25,5.5,2.5,3.0,,,,,,3.2,N1,Ha Tinh
HT1200274,,6.0,5.75,,,,4.5,5.5,6.25,,,2.2,N1,Ha Tinh
HT1200275,,6.8,6.5,4.75,7.5,6.75,,,,,,5.2,N1,Ha Tinh
HT1200276,,5.6,6.0,,,,3.75,6.0,6.25,,,2.4,N1,Ha Tinh
HT1200277,,2.0,4.75,,,,3.0,3.0,8.25,,,2.6,N1,Ha Tinh
HT1200278,,5.4,7.0,,,,4.5,5.75,7.75,,,3.6,N1,Ha Tinh
HT1200279,,6.4,7.0,5.25,5.25,4.5,,,,,,4.2,N1,Ha Tinh
HT1200280,,6.6,7.0,,,,3.25,6.5,6.75,,,2.4,N1,Ha Tinh
HT1200281,,4.0,4.5,,,,4.25,6.0,,,,,,Ha Tinh
HT1200282,,6.0,5.5,,,,5.0,8.25,8.0,,,3.6,N1,Ha Tinh
HT1200283,,3.6,4.75,,,,3.0,5.25,7.5,,,2.4,N1,Ha Tinh
HT1200284,,6.2,6.83,5.75,6.25,4.5,,,,,,2.8,N1,Ha Tinh
HT1200285,,6.8,6.25,5.75,4.0,2.75,,,,,,3.2,N1,Ha Tinh
HT1200286,,6.6,7.0,,,,6.25,6.5,9.0,,,3.6,N1,Ha Tinh
HT1200287,,9.0,8.25,,,,9.5,7.25,,,,8.4,N1,Ha Tinh
HT1200288,,3.0,4.25,,,,4.5,5.5,,,,,,Ha Tinh
HT1200289,,6.8,7.25,,,,2.25,5.0,6.75,,,3.2,N1,Ha Tinh
HT1200290,,2.8,4.5,,,,4.25,5.75,7.25,,,2.8,N1,Ha Tinh
HT1200291,,7.4,5.75,7.75,7.0,5.25,,,,,,2.4,N1,Ha Tinh
HT1200292,,8.2,7.0,7.5,6.5,4.25,,,,,,4.6,N1,Ha Tinh
HT1200293,,5.2,3.25,,,,4.0,6.25,5.5,,,3.4,N1,Ha Tinh
HT1200294,,4.8,6.25,,,,4.75,8.5,7.0,,,3.4,N1,Ha Tinh
HT1200295,,5.4,6.75,,,,4.75,6.0,8.0,,,3.8,N1,Ha Tinh
HT1200296,,4.6,7.25,,,,5.25,6.0,9.25,,,5.6,N1,Ha Tinh
HT1200297,,2.6,5.5,,,,2.75,5.0,7.25,,,3.2,N1,Ha Tinh
HT1200298,,4.6,6.0,,,,3.25,6.25,8.75,,,2.4,N1,Ha Tinh
